E sigma
101070 0.4887
101075 0.50782
101081 0.52953
101086 0.55434
101092 0.58283
101098 0.61575
101101 0.64061
101105 0.6682
101109 0.69891
101112 0.73323
101116 0.77173
101120 0.81511
101124 0.8642
101126 0.9054
101129 0.95088
101132 0.9964
101134 1.0465
101137 1.1018
101139 1.1631
101142 1.2313
101144 1.3074
101147 1.3927
101149 1.4635
101151 1.5671
101153 1.6531
101155 1.7478
101157 1.8523
101159 1.9679
101161 2.0963
101162 2.2392
101164 2.3988
101166 2.5403
101167 2.6954
101169 2.866
101170 3.0537
101172 3.2607
101173 3.489
101175 3.7412
101176 4.0197
101177 4.2637
101179 4.5276
101180 4.8132
101181 5.1217
101182 5.455
101183 5.8139
101185 6.2
101186 6.777
101188 7.2899
101189 7.8404
101191 8.6317
101192 9.2665
101194 10.164
101196 11.113
101199 13.108
101203 15.109
101204 16.054
101206 16.927
101208 17.748
101210 18.302
101211 18.751
101213 19.085
101214 19.295
101216 19.375
101217 19.345
101218 19.229
101220 18.943
101222 18.516
101223 17.924
101225 17.164
101227 16.293
101230 14.846
101235 11.909
101237 10.694
101240 9.6609
101241 8.9358
101243 8.2562
101244 7.6254
101246 7.0164
101247 6.6063
101248 6.2233
101249 5.8664
101251 5.5344
101252 5.2259
101253 4.9398
101254 4.6747
101256 4.3995
101257 4.1202
101259 3.8664
101260 3.6356
101262 3.4255
101263 3.2341
101264 3.0594
101266 2.8998
101268 2.7362
101270 2.5719
101271 2.424
101273 2.2904
101275 2.1693
101277 2.0592
101279 1.9589
101281 1.8671
101283 1.7608
101285 1.6731
101287 1.5934
101290 1.4978
101293 1.4128
101296 1.3369
101299 1.2688
101302 1.2075
101305 1.152
101309 1.0883
101312 1.0318
101316 0.98132
101320 0.93614
101323 0.89548
101327 0.85876
101333 0.80998
101338 0.76758
101344 0.73046
101350 0.69777
101355 0.66881
101361 0.64303
101367 0.61637
101376 0.5866
101384 0.56099
101392 0.53877
101398 0.52554
101409 0.50228
101420 0.48253
101431 0.4656
101446 0.44653
101461 0.43061
101478 0.41561
101497 0.40177
101515 0.39022
101543 0.37614
101565 0.36699
101599 0.35585
101632 0.34699
101677 0.33764
101722 0.33031
101789 0.32184
101856 0.31539
101945 0.30879
102079 0.30148
102258 0.2944
102526 0.28664
102898 0.27846
103479 0.26815
104432 0.25364
106497 0.22515
106504 0.22545
106511 0.22687
