E sigma std
34.9862 2.901 2.473
35.0141 2.8446 2.4693
35.0438 2.7874 2.4655
35.0656 2.7473 2.4629
35.0874 2.7091 2.4604
35.1084 2.6745 2.4582
35.1258 2.6473 2.4564
35.1398 2.6266 2.455
35.1538 2.6071 2.4538
35.1651 2.5921 2.4528
35.1782 2.5758 2.4517
35.1869 2.5656 2.451
35.1957 2.5559 2.4504
35.2061 2.545 2.4497
35.2131 2.5382 2.4493
35.2201 2.5318 2.4488
35.2288 2.5243 2.4484
35.2367 2.5182 2.448
35.2445 2.5125 2.4476
35.2511 2.5083 2.4473
35.2576 2.5044 2.4471
35.2637 2.5012 2.4468
35.269 2.4987 2.4467
35.2742 2.4965 2.4465
35.2786 2.4949 2.4464
35.2838 2.4932 2.4463
35.2886 2.492 2.4462
35.293 2.491 2.4462
35.2986 2.4901 2.4461
35.3037 2.4896 2.4461
35.3083 2.4895 2.4461
35.3135 2.4896 2.4461
35.3187 2.49 2.4461
35.3231 2.4906 2.4462
35.3276 2.4915 2.4462
35.3331 2.493 2.4463
35.3379 2.4946 2.4464
35.3432 2.4967 2.4465
35.3484 2.4992 2.4467
35.353 2.5018 2.4469
35.3589 2.5054 2.4471
35.3632 2.5085 2.4473
35.3676 2.5119 2.4475
35.372 2.5155 2.4478
35.3772 2.5203 2.4481
35.3824 2.5256 2.4484
35.3883 2.532 2.4489
35.3942 2.539 2.4493
35.4003 2.547 2.4498
35.4069 2.5562 2.4504
35.4134 2.5663 2.4511
35.4208 2.5787 2.4519
35.4287 2.593 2.4528
35.4365 2.6086 2.4539
35.4427 2.6217 2.4547
35.4488 2.6355 2.4556
35.4549 2.6502 2.4566
35.461 2.6658 2.4576
35.468 2.6847 2.4588
35.4749 2.7048 2.4601
35.4819 2.7261 2.4615
35.4889 2.7487 2.463
35.4976 2.7788 2.465
35.5064 2.8111 2.4671
35.5151 2.8456 2.4693
35.5238 2.8824 2.4718
35.5343 2.9298 2.4749
35.5448 2.9809 2.4782
35.5552 3.0358 2.4818
35.5657 3.0948 2.4856
35.5749 3.1499 2.4892
35.584 3.2085 2.4931
35.5932 3.2706 2.4971
35.6054 3.3592 2.5029
35.6176 3.4548 2.5092
35.6249 3.516 2.5132
35.6299 3.5579 2.5159
35.639 3.6404 2.5213
35.6512 3.7577 2.529
35.6635 3.8838 2.5372
35.6739 3.9993 2.5448
35.6844 4.1221 2.5528
35.6984 4.2978 2.5643
35.7123 4.4882 2.5767
35.7237 4.6544 2.5876
35.7368 4.8599 2.601
35.7499 5.0812 2.6155
35.763 5.3194 2.631
35.776 5.5757 2.6478
35.7891 5.8515 2.6658
35.8022 6.1482 2.6852
35.8153 6.4675 2.7061
35.8284 6.8112 2.7285
35.8415 7.181 2.7527
35.8546 7.5792 2.7787
35.8677 8.008 2.8067
35.8808 8.4699 2.8369
35.8939 8.9677 2.8695
35.907 9.5043 2.9045
35.92 10.083 2.9424
35.9331 10.708 2.9832
35.9462 11.383 3.0273
35.9593 12.112 3.075
35.9724 12.901 3.1265
35.9855 13.756 3.1824
35.9986 14.681 3.2429
36.0117 15.685 3.3085
36.0248 16.775 3.3797
36.0379 17.961 3.4572
36.051 19.251 3.5415
36.064 20.658 3.6334
36.0771 22.193 3.7338
36.0902 23.873 3.8436
36.1033 25.713 3.9638
36.1164 27.732 4.0958
36.1295 29.953 4.2409
36.1426 32.402 4.401
36.1557 35.108 4.5778
36.1644 37.072 4.7062
36.1731 39.178 4.8439
36.1819 41.44 4.9917
36.1906 43.873 5.1507
36.1993 46.494 5.322
36.2081 49.322 5.5068
36.2159 52.064 5.686
36.2238 55.011 5.8786
36.2316 58.184 6.086
36.2395 61.609 6.3098
36.2473 65.312 6.5518
36.2552 69.327 6.8142
36.263 73.693 7.0995
36.2709 78.452 7.4106
36.2784 83.416 7.735
36.2859 88.842 8.0896
36.2934 94.792 8.4785
36.3009 101.34 8.9064
36.3084 108.57 9.3792
36.3159 116.6 9.9036
36.3216 123.21 10.336
36.3272 130.39 10.805
36.3327 138.02 11.304
36.3379 145.92 11.82
36.3432 154.51 12.382
36.3484 163.87 12.993
36.3536 174.08 13.66
36.3589 185.24 14.39
36.3641 197.47 15.189
36.3693 210.87 16.065
36.3746 225.59 17.027
36.3798 241.78 18.085
36.385 259.59 19.249
36.3896 276.48 20.353
36.3938 293.4 21.458
36.398 311.68 22.653
36.4022 331.46 23.946
36.4063 352.85 25.344
36.4105 376 26.856
36.4147 401.02 28.492
36.4189 428.09 30.261
36.4231 457.35 32.173
36.4273 488.96 34.239
36.4315 523.11 36.471
36.4357 559.97 38.88
36.4399 599.72 41.478
36.444 642.57 44.278
36.4482 688.71 47.294
36.4524 738.35 50.538
36.4566 791.68 54.023
36.4608 848.94 57.765
36.465 910.32 61.777
36.4692 976.04 66.072
36.4734 1046.3 70.665
36.4786 1140.9 76.844
36.4835 1236.2 83.072
36.4884 1338.6 89.766
36.4933 1448.4 96.942
36.4982 1565.8 104.62
36.503 1691.2 112.81
36.5079 1824.6 121.53
36.5128 1966.1 130.78
36.5191 2160.3 143.47
36.5249 2350.4 155.89
36.5306 2551.9 169.06
36.5383 2838 187.76
36.546 3143 207.69
36.5542 3486.6 230.15
36.565 3971.1 261.81
36.5801 4674.4 307.78
36.6024 5742 377.55
36.6136 6254.5 411.04
36.6247 6732 442.25
36.6331 7057.7 463.54
36.6415 7348.4 482.53
36.6499 7598.3 498.86
36.6583 7802.1 512.19
36.6662 7949.3 521.8
36.6744 8050.8 528.44
36.6834 8100.3 531.67
36.6859 8102.6 531.83
36.694 8075.7 530.07
36.7018 8000.4 525.14
36.7102 7867.8 516.48
36.7186 7684.6 504.51
36.727 7454.9 489.5
36.7353 7183.9 471.78
36.7437 6877.2 451.74
36.7521 6541.1 429.77
36.7633 6058.5 398.23
36.7856 5032.9 331.21
36.8038 4204.3 277.06
36.8144 3743.6 246.95
36.824 3348.3 221.11
36.8336 2978.9 196.97
36.842 2680.8 177.49
36.8476 2494.7 165.32
36.8532 2318.8 153.82
36.8588 2153.1 143
36.8644 1997.6 132.84
36.8699 1852.2 123.33
36.8755 1716.6 114.47
36.8818 1575.4 105.24
36.8871 1466.6 98.134
36.8923 1365.6 91.529
36.8975 1271.9 85.405
36.9028 1185.2 79.739
36.908 1105.1 74.506
36.9132 1031.3 69.681
36.9185 963.29 65.239
36.9237 900.79 61.154
36.9289 843.38 57.402
36.9342 790.71 53.96
36.9394 742.42 50.804
36.9447 698.16 47.911
36.9499 657.62 45.262
36.9551 620.49 42.835
36.9604 586.48 40.613
36.9656 555.32 38.576
36.9691 536.01 37.314
36.9761 500.57 34.998
36.9831 468.96 32.932
36.99 440.71 31.086
36.9957 419.94 29.728
37.0014 400.92 28.485
37.0099 375.28 26.809
37.0184 352.63 25.33
37.0269 332.55 24.017
37.0354 314.63 22.846
37.0439 298.58 21.797
37.0524 284.12 20.852
37.0581 275.25 20.272
37.0695 259.11 19.218
