E sigma
251.834 25.062
251.875 23.256
251.916 21.55
251.957 19.965
251.998 18.513
252.04 17.199
252.07 16.305
252.101 15.487
252.137 14.625
252.168 13.961
252.199 13.362
252.23 12.823
252.26 12.338
252.307 11.704
252.353 11.165
252.391 10.779
252.438 10.379
252.484 10.036
252.53 9.7411
252.599 9.3696
252.669 9.0635
252.738 8.8067
252.841 8.4923
252.943 8.2351
253.046 8.0193
253.205 7.744
253.375 7.5078
253.544 7.3138
253.806 7.0728
254.114 6.8526
254.422 6.6789
254.833 6.4964
255.244 6.3523
255.736 6.214
256.229 6.1017
257.114 5.9422
258.173 5.7953
259.415 5.6595
260.234 5.5766
261.774 5.3901
262.344 5.2986
262.775 5.2017
263.062 5.1087
263.25 5.0253
263.434 4.9195
263.705 4.7453
263.802 4.7068
263.841 4.7015
263.917 4.7149
263.975 4.7512
264.032 4.8144
264.096 4.9194
264.147 5.0301
264.207 5.1936
264.273 5.4053
264.383 5.8132
264.517 6.3148
264.592 6.5582
264.653 6.7192
264.715 6.8394
264.776 6.916
264.834 6.949
264.853 6.9519
264.914 6.9373
264.975 6.8919
265.09 6.7487
265.345 6.3622
265.472 6.2043
265.583 6.0945
265.727 5.9865
265.918 5.8846
266.206 5.7826
266.628 5.6855
267.281 5.5891
268.324 5.4907
269.677 5.4084
271.691 5.3079
275.917 5.1514
285.044 4.8425
289.479 4.6623
292.403 4.5157
294.474 4.39
296.667 4.2274
298.008 4.1069
299.348 3.9643
300.566 3.8088
301.48 3.671
302.393 3.5095
303.003 3.3855
303.612 3.2453
304.221 3.0859
304.678 2.9512
305.135 2.8013
305.592 2.6339
306.048 2.4468
306.353 2.3101
306.658 2.1634
307.046 1.9628
307.769 1.5684
307.922 1.4907
308.074 1.4206
308.188 1.3761
308.264 1.3519
308.35 1.3316
308.421 1.3218
308.469 1.3198
308.54 1.3248
308.588 1.3346
308.636 1.3505
308.683 1.3736
308.723 1.3994
308.763 1.4321
308.803 1.4726
308.843 1.5221
308.883 1.5822
308.913 1.6352
308.943 1.6959
308.973 1.7654
309.003 1.8448
309.032 1.9328
309.061 2.033
309.09 2.147
309.119 2.2769
309.149 2.425
309.178 2.594
309.197 2.7199
309.217 2.8577
309.236 3.0085
309.255 3.1737
309.275 3.3548
309.294 3.5535
309.314 3.7716
309.334 4.026
309.355 4.3072
309.375 4.6181
309.396 4.9622
309.416 5.3431
309.437 5.765
309.458 6.2322
309.478 6.7499
309.499 7.3234
309.519 7.9588
309.538 8.6079
309.554 9.2026
309.57 9.8463
309.586 10.543
309.602 11.296
309.618 12.11
309.634 12.99
309.65 13.94
309.666 14.965
309.682 16.071
309.698 17.264
309.713 18.421
309.731 19.998
309.749 21.712
309.767 23.571
309.786 25.587
309.804 27.768
309.822 30.126
309.841 32.672
309.858 35.297
309.875 37.987
309.892 40.861
309.908 43.926
309.925 47.191
309.942 50.663
309.959 54.351
309.975 58.261
309.999 64.161
310.022 70.321
310.045 76.936
310.067 84.017
310.09 91.572
310.119 101.83
310.147 112.25
310.174 123.34
310.202 135.1
310.24 152.44
310.276 170.11
310.322 193.68
310.391 230.03
310.486 281.03
310.537 307.01
310.581 327.58
310.62 344.06
310.656 357.64
310.693 369.13
310.731 378.69
310.768 385.32
310.807 389.34
310.838 390.34
310.874 389.11
310.909 385.4
310.941 379.92
310.985 369.5
311.019 359.22
311.053 347.28
311.097 329.84
311.141 310.54
311.214 275.72
311.331 218.45
311.386 192.71
311.422 176.59
311.458 161.34
311.495 147.03
311.531 133.74
311.555 125.45
311.586 115.69
311.616 106.66
311.647 98.342
311.677 90.721
311.708 83.764
311.738 77.437
311.769 71.701
311.799 66.516
311.829 61.841
311.86 57.634
311.89 53.854
311.921 50.462
311.951 47.42
311.982 44.692
312.012 42.245
312.043 40.049
312.078 37.808
312.112 35.821
312.147 34.053
312.182 32.476
312.217 31.064
312.252 29.795
312.298 28.292
312.345 26.972
312.391 25.803
312.45 24.489
312.505 23.435
312.559 22.495
312.631 21.389
312.704 20.419
312.776 19.56
312.848 18.794
312.957 17.786
313.069 16.888
313.183 16.095
313.298 15.402
313.412 14.79
313.526 14.246
313.694 13.549
313.876 12.899
314.059 12.341
314.242 11.857
314.485 11.302
314.714 10.859
314.942 10.473
315.247 10.033
315.552 9.6584
315.856 9.3363
316.313 8.9298
316.77 8.5938
317.227 8.3116
317.684 8.0712
318.369 7.7701
318.902 7.5742
319.816 7.2964
320.729 7.0728
321.678 6.8825
322.965 6.6731
324.147 6.5169
325.761 6.3431
327.425 6.2026
328.407 6.1444
329.348 6.0618
331.213 5.9499
335.087 5.7651
339.623 5.5941
346.212 5.3822
347.083 5.3583
348.594 5.2913
351.68 5.1585
353.543 5.0503
354.826 4.9507
355.901 4.8383
356.564 4.7475
357.174 4.6412
357.657 4.5337
358.016 4.4348
358.363 4.3169
358.7 4.1739
358.955 4.0398
359.127 3.932
359.303 3.803
359.488 3.6435
359.82 3.3162
359.906 3.2494
359.964 3.2215
360.007 3.2141
360.051 3.223
360.087 3.2453
360.122 3.2838
360.157 3.3418
360.192 3.4225
360.219 3.5001
360.245 3.5941
360.272 3.7062
360.298 3.838
360.325 3.9912
360.346 4.1313
