E	sigma
14.42	4995.37
14.43	4996.13
14.44	4996.89
14.45	4997.66
14.46	4998.45
14.47	4999.24
14.48	5000.04
14.49	5000.85
14.5	5001.67
14.51	5002.5
14.52	5003.34
14.53	5004.19
14.54	5005.05
14.55	5005.92
14.56	5006.79
14.57	5007.68
14.58	5008.57
14.59	5009.48
14.6	5010.39
14.61	5011.31
14.62	5012.24
14.63	5013.18
14.64	5014.13
14.65	5015.09
14.66	5016.06
14.67	5017.03
14.68	5018.02
14.69	5019.01
14.7	5020.01
14.71	5021.02
14.72	5022.04
14.73	5023.07
14.74	5024.11
14.75	5025.16
14.76	5026.21
14.77	5027.27
14.78	5028.35
14.79	5029.43
14.8	5030.52
14.81	5031.61
14.82	5032.72
14.83	5033.83
14.84	5034.96
14.85	5036.09
14.86	5037.23
14.87	5038.38
14.88	5039.54
14.89	5040.7
14.9	5041.88
14.91	5043.06
14.92	5044.25
14.93	5045.45
14.94	5046.65
14.95	5047.87
14.96	5049.09
14.97	5050.33
14.98	5051.57
14.99	5052.81
15	5054.07
15.01	5055.34
15.02	5056.61
15.03	5057.89
15.04	5059.18
15.05	5060.48
15.06	5061.78
15.07	5063.1
15.08	5064.42
15.09	5065.75
15.1	5067.09
15.11	5068.43
15.12	5069.79
15.13	5071.15
15.14	5072.52
15.15	5073.9
15.16	5075.29
15.17	5076.68
15.18	5078.08
15.19	5079.49
15.2	5080.91
15.21	5082.34
15.22	5083.78
15.23	5085.22
15.24	5086.67
15.25	5088.13
15.26	5089.6
15.27	5091.07
15.28	5092.55
15.29	5094.05
15.3	5095.54
15.31	5097.05
15.32	5098.57
15.33	5100.09
15.34	5101.62
15.35	5103.16
15.36	5104.71
15.37	5106.27
15.38	5107.83
15.39	5109.4
15.4	5110.98
15.41	5112.57
15.42	5114.17
15.43	5115.77
15.44	5117.39
15.45	5119.01
15.46	5120.64
15.47	5122.27
15.48	5123.92
15.49	5125.57
15.5	5127.24
15.51	5128.91
15.52	5130.58
15.53	5132.27
15.54	5133.97
15.55	5135.67
15.56	5137.38
15.57	5139.1
15.58	5140.83
15.59	5142.57
15.6	5144.32
15.61	5146.07
