E	sigma
14.94	1656.23
14.95	1655.6
14.96	1654.99
14.97	1654.38
14.98	1653.78
14.99	1653.19
15	1652.61
15.01	1652.03
15.02	1651.47
15.03	1650.91
15.04	1650.35
15.05	1649.81
15.06	1649.27
15.07	1648.74
15.08	1648.22
15.09	1647.7
15.1	1647.19
15.11	1646.7
15.12	1646.2
15.13	1645.72
15.14	1645.24
15.15	1644.77
15.16	1644.31
15.17	1643.85
15.18	1643.41
15.19	1642.97
15.2	1642.53
15.21	1642.11
15.22	1641.69
15.23	1641.28
15.24	1640.88
15.25	1640.48
15.26	1640.09
15.27	1639.71
15.28	1639.34
15.29	1638.97
15.3	1638.61
15.31	1638.26
15.32	1637.91
15.33	1637.58
15.34	1637.25
15.35	1636.92
15.36	1636.61
15.37	1636.3
15.38	1636
15.39	1635.7
15.4	1635.42
15.41	1635.14
15.42	1634.87
15.43	1634.6
15.44	1634.34
15.45	1634.09
15.46	1633.85
15.47	1633.61
15.48	1633.38
15.49	1633.16
15.5	1632.94
15.51	1632.73
15.52	1632.53
15.53	1632.34
15.54	1632.15
15.55	1631.97
15.56	1631.79
15.57	1631.63
15.58	1631.47
15.59	1631.32
15.6	1631.17
15.61	1631.03
15.62	1630.9
15.63	1630.77
15.64	1630.66
15.65	1630.54
15.66	1630.44
15.67	1630.34
15.68	1630.25
15.69	1630.17
