E	sigma
12.36	2722.43
12.37	2725.54
12.38	2728.68
12.39	2731.84
12.4	2735.03
12.41	2738.23
12.42	2741.45
12.43	2744.7
12.44	2747.96
12.45	2751.24
12.46	2754.55
12.47	2757.87
12.48	2761.21
12.49	2764.57
12.5	2767.95
12.51	2771.34
12.52	2774.75
12.53	2778.18
12.54	2781.63
12.55	2785.09
12.56	2788.57
12.57	2792.06
12.58	2795.57
12.59	2799.09
12.6	2802.63
12.61	2806.18
12.62	2809.75
12.63	2813.33
12.64	2816.92
12.65	2820.52
12.66	2824.14
12.67	2827.76
12.68	2831.4
12.69	2835.05
12.7	2838.7
12.71	2842.37
12.72	2846.05
12.73	2849.73
12.74	2853.43
12.75	2857.13
12.76	2860.84
12.77	2864.55
12.78	2868.27
12.79	2872
12.8	2875.74
12.81	2879.47
12.82	2883.22
12.83	2886.96
12.84	2890.72
12.85	2894.47
12.86	2898.23
12.87	2901.98
12.88	2905.74
12.89	2909.51
12.9	2913.27
12.91	2917.03
12.92	2920.79
12.93	2924.55
12.94	2928.31
12.95	2932.07
12.96	2935.82
12.97	2939.58
12.98	2943.33
12.99	2947.07
13	2950.81
13.01	2954.55
13.02	2958.28
13.03	2962
13.04	2965.72
13.05	2969.43
13.06	2973.13
13.07	2976.83
13.08	2980.51
13.09	2984.19
13.1	2987.86
13.11	2991.52
13.12	2995.17
13.13	2998.8
13.14	3002.43
13.15	3006.04
13.16	3009.64
13.17	3013.23
13.18	3016.8
13.19	3020.36
13.2	3023.91
13.21	3027.44
13.22	3030.95
13.23	3034.45
13.24	3037.94
13.25	3041.4
13.26	3044.85
13.27	3048.28
13.28	3051.69
13.29	3055.09
13.3	3058.46
13.31	3061.81
13.32	3065.15
13.33	3068.46
13.34	3071.75
13.35	3075.02
13.36	3078.27
13.37	3081.5
13.38	3084.7
13.39	3087.88
13.4	3091.04
13.41	3094.17
13.42	3097.28
13.43	3100.36
13.44	3103.42
13.45	3106.46
13.46	3109.46
13.47	3112.44
13.48	3115.39
13.49	3118.32
13.5	3121.22
13.51	3124.09
13.52	3126.93
13.53	3129.74
13.54	3132.53
13.55	3135.28
13.56	3138.01
13.57	3140.7
13.58	3143.36
13.59	3146
13.6	3148.6
13.61	3151.17
13.62	3153.71
13.63	3156.22
13.64	3158.7
13.65	3161.14
13.66	3163.55
13.67	3165.93
13.68	3168.28
13.69	3170.59
13.7	3172.86
13.71	3175.11
13.72	3177.32
13.73	3179.49
13.74	3181.63
13.75	3183.74
13.76	3185.81
13.77	3187.85
13.78	3189.85
13.79	3191.81
13.8	3193.74
13.81	3195.64
13.82	3197.49
13.83	3199.31
13.84	3201.1
13.85	3202.85
13.86	3204.56
13.87	3206.23
13.88	3207.87
13.89	3209.47
13.9	3211.04
13.91	3212.56
13.92	3214.05
13.93	3215.51
13.94	3216.92
13.95	3218.3
13.96	3219.64
13.97	3220.94
13.98	3222.2
13.99	3223.43
14	3224.62
14.01	3225.77
14.02	3226.89
14.03	3227.96
14.04	3229
14.05	3230
14.06	3230.96
14.07	3231.89
14.08	3232.77
14.09	3233.62
14.1	3234.43
14.11	3235.21
14.12	3235.94
14.13	3236.64
14.14	3237.3
14.15	3237.93
14.16	3238.51
14.17	3239.06
14.18	3239.57
14.19	3240.04
14.2	3240.48
14.21	3240.88
14.22	3241.24
14.23	3241.57
14.24	3241.86
14.25	3242.11
14.26	3242.33
14.27	3242.5
14.28	3242.65
14.29	3242.75
14.3	3242.82
14.31	3242.86
14.32	3242.86
14.33	3242.82
14.34	3242.75
14.35	3242.64
14.36	3242.5
14.37	3242.32
14.38	3242.1
14.39	3241.86
14.4	3241.57
14.41	3241.26
14.42	3240.91
14.43	3240.52
14.44	3240.1
14.45	3239.65
14.46	3239.16
14.47	3238.64
14.48	3238.09
14.49	3237.51
14.5	3236.89
14.51	3236.24
14.52	3235.55
14.53	3234.84
14.54	3234.09
14.55	3233.31
14.56	3232.5
14.57	3231.66
14.58	3230.79
14.59	3229.89
14.6	3228.96
14.61	3227.99
14.62	3227
14.63	3225.97
14.64	3224.92
14.65	3223.84
14.66	3222.73
14.67	3221.59
14.68	3220.42
14.69	3219.22
14.7	3217.99
14.71	3216.74
14.72	3215.46
14.73	3214.15
14.74	3212.81
14.75	3211.45
14.76	3210.06
14.77	3208.64
14.78	3207.2
14.79	3205.73
14.8	3204.24
14.81	3202.72
14.82	3201.18
14.83	3199.61
14.84	3198.01
14.85	3196.39
14.86	3194.75
14.87	3193.08
14.88	3191.39
14.89	3189.68
14.9	3187.94
14.91	3186.18
14.92	3184.4
14.93	3182.59
14.94	3180.76
14.95	3178.91
14.96	3177.04
14.97	3175.15
14.98	3173.24
14.99	3171.3
15	3169.35
15.01	3167.37
15.02	3165.37
15.03	3163.36
15.04	3161.32
15.05	3159.27
15.06	3157.19
15.07	3155.1
15.08	3152.99
15.09	3150.86
15.1	3148.71
15.11	3146.54
15.12	3144.36
15.13	3142.16
15.14	3139.94
15.15	3137.71
15.16	3135.45
15.17	3133.18
15.18	3130.9
15.19	3128.6
15.2	3126.28
15.21	3123.95
15.22	3121.6
15.23	3119.24
15.24	3116.86
15.25	3114.47
15.26	3112.06
15.27	3109.64
15.28	3107.21
15.29	3104.76
15.3	3102.3
15.31	3099.82
15.32	3097.34
15.33	3094.84
15.34	3092.32
15.35	3089.8
15.36	3087.26
15.37	3084.71
15.38	3082.15
15.39	3079.58
15.4	3076.99
15.41	3074.4
15.42	3071.79
15.43	3069.17
15.44	3066.55
15.45	3063.91
15.46	3061.26
15.47	3058.6
15.48	3055.94
15.49	3053.26
15.5	3050.57
15.51	3047.88
15.52	3045.17
15.53	3042.46
15.54	3039.74
15.55	3037.01
15.56	3034.27
15.57	3031.53
15.58	3028.78
15.59	3026.01
15.6	3023.25
15.61	3020.47
